"news,600596,857052424.html",和些讨口子乞丐买一只股票真的好痛苦！,546,0,2019-07-17 13:34:39
"news,600596,857052211.html",收盘翻绿,586,1,2019-07-17 13:34:09
"news,600596,857050625.html",预感今天会板，就像我昨天感觉要直上或者直下一样，大,591,0,2019-07-17 13:30:25
"news,600596,857050514.html",涨停，涨涨涨,483,0,2019-07-17 13:30:16
"news,600596,857049597.html",还没来得及卖又下去了～你大爷的14什么时候才能回本,541,0,2019-07-17 13:28:14
"news,600596,857047727.html",没涨停基因,505,0,2019-07-17 13:23:43
"news,600596,857046779.html",积蓄能量，出发。[赞],535,0,2019-07-17 13:21:39
"news,600596,857046319.html",10.91进去的，明天能活着出来不，真想扇自己,1277,4,2019-07-17 13:20:34
"news,600596,857044825.html",你妹昨天10.45割肉,821,3,2019-07-17 13:16:52
"news,600596,857042974.html",别激动，给大伙午后提神醒脑的,545,0,2019-07-17 13:11:49
"news,600596,857042930.html",拿死了，这货装逼,514,0,2019-07-17 13:11:43
"news,600596,857042714.html",10块钱的时候我就满仓了，等一了一个礼拜了,547,0,2019-07-17 13:11:02
"news,cfhpl,857041962.html",草甘膦价格大幅上调，相关企业受益,20608,2,2019-07-17 13:08:47
"news,600596,857041895.html",MMP火箭发射直线拉升,512,0,2019-07-17 13:08:45
"news,600596,857041350.html",这货啥情况,495,0,2019-07-17 13:06:58
"news,600596,857041517.html",新安股份7月17日快速上涨,812,0,2019-07-17 13:06:44
"news,600596,857040556.html",火箭发射,542,0,2019-07-17 13:04:22
"news,600596,857039910.html",什么情况？,561,0,2019-07-17 13:01:33
"news,600596,857039918.html",新安股份7月17日快速反弹,859,0,2019-07-17 13:01:14
"news,600596,857039486.html",都散了吧，是时候散了,823,2,2019-07-17 12:58:32
"news,600596,857033927.html",在此吧里，有人唱空三个月了，天天看空，不是托就是想,817,1,2019-07-17 12:05:56
"news,600596,857027195.html",日线金叉[大笑],550,0,2019-07-17 11:29:54
"news,600596,857026951.html",人美活好！,504,0,2019-07-17 11:29:24
"news,600596,857017957.html",筹码在主力手里，多大的利空都不会跌、筹码在散户手里,580,0,2019-07-17 11:09:30
"news,600596,857014802.html",1234玩个不停，呵呵,506,0,2019-07-17 11:02:59
"news,600596,856999069.html",差不多是时候往下打了，已经没有多少买盘了,596,1,2019-07-17 10:33:05
"news,600596,856996941.html",此股全散户,498,0,2019-07-17 10:28:59
"news,600596,856989934.html",昨天又发生大笔交易11.40！为什么选择高价进货！,925,1,2019-07-17 10:16:13
"news,600596,856989107.html",他妈的，每天都这个鸟样子。。。垃圾,550,0,2019-07-17 10:14:48
"news,600596,856989037.html",今天要大跌  最起码跌破10块位置  跑 别问为什么 亏出,908,2,2019-07-17 10:14:38
"news,600596,856979526.html",冲进来就要好好站岗放哨,751,1,2019-07-17 09:57:14
"news,600596,856972994.html",卖了,491,0,2019-07-17 09:46:12
"news,600596,856972383.html",老套路！今天不向上就又得回去！,708,2,2019-07-17 09:45:04
"news,600596,856971878.html",垃圾，每天想尽办法的压着再让小散上车,522,0,2019-07-17 09:44:14
"news,600596,856965464.html",昨天试盘，，今天拉升,601,2,2019-07-17 09:32:18
"news,600596,856951321.html",新安股份(600596)融资融券信息(07-16),1517,0,2019-07-17 07:40:02
"news,600596,856916884.html",引进央企中化公司或者国外化工龙头企业，扩大对外出口,1618,1,2019-07-16 19:50:25
"news,600596,856911115.html",差一根30分钟的阳柱,765,0,2019-07-16 18:42:58
"news,600596,856911009.html",港仔买得挺多啊,812,0,2019-07-16 18:41:33
"news,600596,856911497.html",新安股份07月16日发生1笔大宗交易价格11.40元 溢价9.2,5117,9,2019-07-16 18:19:16
"news,600596,856899497.html",新安快出货！！,972,0,2019-07-16 17:52:26
"news,600596,856859902.html",嗯值得研究一下,1459,1,2019-07-16 16:18:58
